,ticker,date,Cash and cash equivalents,Short-term investments,Cash and short-term investments,Receivables,Inventories,Total current assets,"Property, Plant & Equipment Net",Goodwill and Intangible Assets,Long-term investments,Tax assets,Total non-current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Deferred revenue,Tax Liabilities,Deposit Liabilities,Total non-current liabilities,Total liabilities,Other comprehensive income,Retained earnings (deficit),Total shareholders equity,Investments,Net Debt,Other Assets,Other Liabilities
23,CTAS,2014-05-31,513288000.0,0.0,513288000.0,508427000.0,251239000.0,1805681000.0,855702000.0,0.0,0.0,0.0,2656771000.0,4462452000.0,150070000.0,503000.0,630131000.0,1300477000.0,1300980000.0,0.0,5960000.0,0.0,1639463000.0,2269594000.0,0.0,3998893000.0,2192858000.0,0.0,787692000.0,0.0,0.0
24,CTAS,2014-02-28,348859000.0,4840000.0,353699000.0,529668000.0,256132000.0,1664909000.0,981197000.0,0.0,0.0,0.0,2735532000.0,4400441000.0,117336000.0,633000.0,552802000.0,1300523000.0,1301156000.0,0.0,9018000.0,0.0,1603606000.0,2156408000.0,0.0,3871675000.0,2244033000.0,4840000.0,952297000.0,0.0,0.0
25,CTAS,2013-11-30,309334000.0,4156000.0,313490000.0,520523000.0,249486000.0,1618782000.0,988897000.0,0.0,0.0,0.0,2746616000.0,4365398000.0,103242000.0,714000.0,614561000.0,1300615000.0,1301329000.0,0.0,4238000.0,0.0,1602865000.0,2217426000.0,0.0,3787067000.0,2147972000.0,4156000.0,991995000.0,0.0,0.0
26,CTAS,2013-08-31,278670000.0,4189000.0,282859000.0,511642000.0,245470000.0,1572289000.0,991331000.0,0.0,0.0,0.0,2738888000.0,4311177000.0,124952000.0,8200000.0,515695000.0,1300799000.0,1308999000.0,0.0,23367000.0,0.0,1599471000.0,2115166000.0,0.0,3795525000.0,2196011000.0,4189000.0,1030329000.0,0.0,0.0
27,CTAS,2013-05-31,352273000.0,5680000.0,357953000.0,496049000.0,240440000.0,1624826000.0,986703000.0,0.0,0.0,9102000.0,2720806000.0,4345632000.0,121029000.0,8187000.0,556256000.0,1300979000.0,1309166000.0,0.0,0.0,0.0,1587884000.0,2144140000.0,0.0,3717771000.0,2201492000.0,5680000.0,956893000.0,0.0,0.0
28,CTAS,2013-02-28,217470000.0,28216000.0,245686000.0,495124000.0,246957000.0,1509452000.0,976844000.0,0.0,0.0,15331000.0,2711847000.0,4221299000.0,109064000.0,674000.0,500752000.0,1308656000.0,1309330000.0,0.0,0.0,0.0,1590301000.0,2091053000.0,0.0,3631793000.0,2130246000.0,28216000.0,1091860000.0,0.0,0.0
29,CTAS,2012-11-30,242487000.0,33862000.0,276349000.0,479106000.0,236195000.0,1519662000.0,967260000.0,0.0,0.0,20976000.0,2698220000.0,4217882000.0,118534000.0,661000.0,555179000.0,1308829000.0,1309490000.0,0.0,0.0,0.0,1582059000.0,2137238000.0,0.0,3557088000.0,2080644000.0,33862000.0,1067003000.0,0.0,0.0
30,CTAS,2012-08-31,319217000.0,10948000.0,330165000.0,459302000.0,241699000.0,1523877000.0,953761000.0,0.0,0.0,0.0,2628358000.0,4152235000.0,110906000.0,636000.0,384111000.0,1309012000.0,1309648000.0,0.0,7930000.0,0.0,1613709000.0,1997820000.0,0.0,3558806000.0,2154415000.0,10948000.0,990431000.0,0.0,0.0
31,CTAS,2012-05-31,339825000.0,0.0,339825000.0,450861000.0,251205000.0,1541568000.0,944305000.0,0.0,0.0,0.0,2619338000.0,4160906000.0,94840000.0,225636000.0,670891000.0,1059166000.0,1284802000.0,0.0,0.0,0.0,1350880000.0,2021771000.0,0.0,3482073000.0,2139135000.0,0.0,944977000.0,0.0,0.0
32,CTAS,2012-02-29,217983000.0,134631000.0,352614000.0,439650000.0,275673000.0,1625536000.0,944034000.0,0.0,0.0,56422000.0,2627631000.0,4253167000.0,115566000.0,225633000.0,648561000.0,1059276000.0,1284909000.0,0.0,0.0,0.0,1407979000.0,2056540000.0,0.0,3403459000.0,2196627000.0,134631000.0,1066926000.0,0.0,0.0
