,ticker,date,Depreciation & Amortization,Stock-based compensation,Operating Cash Flow,Capital Expenditure,Acquisitions and disposals,Investment purchases and sales,Investing Cash flow,Issuance (repayment) of debt,Issuance (buybacks) of shares,Dividend payments,Financing Cash Flow,Effect of forex changes on cash,Net cash flow / Change in cash,Free Cash Flow,Net Cash/Marketcap
6,PYPL,2013-12-31,453000000.0,177000000.0,1993000000.0,-391000000.0,-731000000.0,-599000000.0,-1721000000.0,-133000000.0,0.0,0.0,-85000000.0,3000000.0,190000000.0,1602000000.0,0.169
7,PYPL,2012-12-31,382000000.0,148000000.0,1565000000.0,-511000000.0,-22000000.0,-825000000.0,-1526000000.0,20000000.0,0.0,0.0,-210000000.0,-1000000.0,-172000000.0,1054000000.0,0.169
0,CMCSA,2018-12-31,10676000000.0,826000000.0,24297000000.0,11709000000.0,-38219000000.0,-6577000000.0,-50854000000.0,-9177000000.0,-5320000000.0,-3352000000.0,27140000000.0,-245000000.0,338000000.0,12588000000.0,0.0
1,CMCSA,2017-12-31,9825000000.0,751000000.0,21403000000.0,11297000000.0,-532000000.0,-7727000000.0,-13704000000.0,-4459000000.0,-5435000000.0,-2883000000.0,-7572000000.0,0.0,127000000.0,10106000000.0,0.0
2,CMCSA,2016-12-31,9558000000.0,640000000.0,19240000000.0,10821000000.0,-3929000000.0,-6697000000.0,-18385000000.0,-4842000000.0,-4977000000.0,-2601000000.0,151000000.0,0.0,1006000000.0,8419000000.0,0.0
3,CMCSA,2015-12-31,8680000000.0,567000000.0,18778000000.0,9869000000.0,-1786000000.0,-7534000000.0,-11964000000.0,-4513000000.0,-6714000000.0,-2437000000.0,-8429000000.0,0.0,-1615000000.0,8909000000.0,0.0
4,CMCSA,2014-12-31,8019000000.0,513000000.0,16945000000.0,8542000000.0,-477000000.0,-4442000000.0,-8733000000.0,-2671000000.0,-4216000000.0,-2254000000.0,-6020000000.0,0.0,2192000000.0,8403000000.0,0.0
5,CMCSA,2013-12-31,16120000000.0,419000000.0,14160000000.0,7605000000.0,-99000000.0,-3223000000.0,-9514000000.0,-3789000000.0,-1960000000.0,-1964000000.0,-13879000000.0,0.0,-9233000000.0,6555000000.0,0.0
6,CMCSA,2012-12-31,17252000000.0,371000000.0,14854000000.0,6637000000.0,-90000000.0,-3297000000.0,-1486000000.0,-2337000000.0,-2767000000.0,-1608000000.0,-4037000000.0,0.0,9331000000.0,8217000000.0,0.0
7,CMCSA,2011-12-31,14423000000.0,344000000.0,14345000000.0,6261000000.0,-6407000000.0,-2141000000.0,-12508000000.0,-3760000000.0,-1858000000.0,-1187000000.0,-6201000000.0,0.0,-4364000000.0,8084000000.0,0.0
8,CMCSA,2010-12-31,6616000000.0,300000000.0,11179000000.0,5497000000.0,-183000000.0,-1460000000.0,-5711000000.0,-1153000000.0,-1166000000.0,-1064000000.0,-155000000.0,0.0,5313000000.0,5682000000.0,0.0
9,CMCSA,2009-12-31,6500000000.0,257000000.0,10281000000.0,-5639000000.0,14000000.0,-346000000.0,-5897000000.0,-3174000000.0,-764000000.0,-761000000.0,-4908000000.0,0.0,-524000000.0,4642000000.0,-0.5895
0,TSLA,2019-12-31,2342000000.0,898000000.0,2405000000.0,1332000000.0,-45000000.0,0.0,-1436000000.0,-37000000.0,-5420000000.0,-0.0,1529000000.0,8000000.0,2506000000.0,1073000000.0,0.0
1,TSLA,2018-12-31,2059780000.0,749024000.0,2097802000.0,2100724000.0,-17912000.0,0.0,-2360128000.0,-14973000.0,-3685618000.0,-0.0,573755000.0,-22700000.0,311429000.0,-2922000.0,0.0
2,TSLA,2017-12-31,1727040000.0,466760000.0,-60654000.0,3414814000.0,-114523000.0,0.0,-4379512000.0,-63111000.0,-2967739000.0,-0.0,4414864000.0,39455000.0,-25302000.0,-3475468000.0,0.0
3,TSLA,2016-12-31,1034385000.0,334225000.0,-123829000.0,1280802000.0,213523000.0,16667000.0,-1423839000.0,-20042000.0,-1691482000.0,-0.0,3743976000.0,-7409000.0,2196308000.0,-1404631000.0,0.0
4,TSLA,2015-12-31,494653000.0,197999000.0,-524499000.0,1634850000.0,-12260000.0,0.0,-1673551000.0,203780000.0,-466908000.0,-0.0,1523523000.0,-34278000.0,-708805000.0,-2159349000.0,0.0
5,TSLA,2014-12-31,301665000.0,156496000.0,-57337000.0,969885000.0,-0.0,-16710000.0,-990444000.0,11179000.0,-1905713000.0,-0.0,2143130000.0,-35525000.0,1059824000.0,-1027222000.0,0.0
6,TSLA,2013-12-31,115226000.0,80737000.0,257994000.0,264224000.0,-0.0,0.0,-249417000.0,-452337000.0,-845889000.0,-0.0,635422000.0,0.0,643999000.0,-6230000.0,0.0
7,TSLA,2012-12-31,28769000.0,50145000.0,-266081000.0,239228000.0,-0.0,25008000.0,-206930000.0,-12710000.0,-201890000.0,-0.0,419635000.0,0.0,-53376000.0,-505309000.0,0.0
8,TSLA,2011-12-31,17031000.0,29419000.0,-114364000.0,197896000.0,-0.0,-24952000.0,-175928000.0,416000.0,-255266000.0,-0.0,446000000.0,0.0,155708000.0,-312260000.0,0.0
9,TSLA,2010-12-31,10623000.0,21082000.0,-127817000.0,-105413000.0,0.0,0.0,-180297000.0,71513000.0,270192000.0,0.0,338045000.0,0.0,29931000.0,-233230000.0,0.0424
10,TSLA,2009-12-31,6940000.0,1434000.0,-80825000.0,-11884000.0,0.0,0.0,-14244000.0,25146000.0,497000.0,0.0,155419000.0,0.0,60350000.0,-92709000.0,0.0324
0,COST,2019-09-01,1492000000.0,595000000.0,6356000000.0,2998000000.0,-0.0,984000000.0,-2865000000.0,-89000000.0,-247000000.0,-1038000000.0,-1147000000.0,-15000000.0,2329000000.0,3358000000.0,0.0
